"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상","2024년12월_남_총인구수","2024년12월_남_연령구간인구수","2024년12월_남_0~9세","2024년12월_남_10~19세","2024년12월_남_20~29세","2024년12월_남_30~39세","2024년12월_남_40~49세","2024년12월_남_50~59세","2024년12월_남_60~69세","2024년12월_남_70~79세","2024년12월_남_80~89세","2024년12월_남_90~99세","2024년12월_남_100세 이상","2024년12월_여_총인구수","2024년12월_여_연령구간인구수","2024년12월_여_0~9세","2024년12월_여_10~19세","2024년12월_여_20~29세","2024년12월_여_30~39세","2024년12월_여_40~49세","2024년12월_여_50~59세","2024년12월_여_60~69세","2024년12월_여_70~79세","2024년12월_여_80~89세","2024년12월_여_90~99세","2024년12월_여_100세 이상"
"서울특별시 중구 신당제5동(1114065000)","10,080","10,080","433","493","1,414","1,852","1,369","1,669","1,522","847","422","58","1","4,894","4,894","218","241","622","919","720","876","759","367","154","17","1","5,186","5,186","215","252","792","933","649","793","763","480","268","41","0"
"서울특별시 중구 동화동(1114066500)","9,828","9,828","562","682","1,060","1,306","1,329","1,749","1,709","849","497","84","1","4,720","4,720","308","338","505","638","658","816","848","409","174","25","1","5,108","5,108","254","344","555","668","671","933","861","440","323","59","0"
"서울특별시 중구 황학동(1114067000)","13,101","13,101","592","440","2,184","3,268","1,857","1,714","1,603","962","407","72","2","6,156","6,156","323","213","865","1,591","930","849","797","423","144","21","0","6,945","6,945","269","227","1,319","1,677","927","865","806","539","263","51","2"
"서울특별시 중구 중림동(1114068000)","12,060","12,060","902","711","1,309","2,125","2,092","1,806","1,601","943","492","73","6","5,878","5,878","445","388","575","953","1,111","921","838","420","205","20","2","6,182","6,182","457","323","734","1,172","981","885","763","523","287","53","4"
"서울특별시 용산구 (1117000000)","203,854","203,854","10,250","12,916","27,775","36,786","29,357","32,657","28,488","15,450","8,656","1,467","52","97,469","97,469","5,201","6,591","12,617","18,057","14,506","15,895","13,913","6,929","3,283","460","17","106,385","106,385","5,049","6,325","15,158","18,729","14,851","16,762","14,575","8,521","5,373","1,007","35"
"서울특별시 용산구 후암동(1117051000)","15,804","15,804","639","1,066","2,080","2,821","2,208","2,546","2,342","1,299","695","100","8","7,591","7,591","341","577","988","1,439","1,090","1,230","1,092","580","232","21","1","8,213","8,213","298","489","1,092","1,382","1,118","1,316","1,250","719","463","79","7"
"서울특별시 용산구 용산2가동(1117052000)","8,690","8,690","226","418","1,260","1,629","1,177","1,204","1,326","878","497","73","2","4,269","4,269","115","225","644","868","639","575","602","383","200","17","1","4,421","4,421","111","193","616","761","538","629","724","495","297","56","1"
"서울특별시 용산구 남영동(1117053000)","6,739","6,739","118","200","761","1,069","769","1,403","1,455","623","295","42","4","4,104","4,104","60","112","352","585","464","948","1,026","395","145","15","2","2,635","2,635","58","88","409","484","305","455","429","228","150","27","2"
"서울특별시 용산구 청파동(1117055500)","18,603","18,603","448","897","3,931","3,430","2,158","2,923","2,529","1,411","782","91","3","8,619","8,619","234","434","1,487","1,777","1,101","1,474","1,215","582","289","24","2","9,984","9,984","214","463","2,444","1,653","1,057","1,449","1,314","829","493","67","1"
"서울특별시 용산구 원효로제1동(1117056000)","17,020","17,020","1,057","936","2,759","4,284","2,600","2,221","1,823","885","387","67","1","7,866","7,866","547","493","1,051","1,961","1,266","1,086","878","418","139","27","0","9,154","9,154","510","443","1,708","2,323","1,334","1,135","945","467","248","40","1"
"서울특별시 용산구 원효로제2동(1117057000)","13,522","13,522","718","920","1,812","2,386","1,892","2,203","1,903","1,035","552","98","3","6,362","6,362","332","424","783","1,144","970","1,085","913","480","204","27","0","7,160","7,160","386","496","1,029","1,242","922","1,118","990","555","348","71","3"
"서울특별시 용산구 효창동(1117058000)","10,484","10,484","667","640","1,500","2,035","1,523","1,730","1,261","675","391","62","0","4,906","4,906","320","334","655","986","735","808","610","290","149","19","0","5,578","5,578","347","306","845","1,049","788","922","651","385","242","43","0"
"서울특별시 용산구 용문동(1117059000)","11,161","11,161","552","632","1,514","1,953","1,489","1,835","1,595","1,009","512","65","5","5,265","5,265","263","324","716","970","724","886","752","424","190","14","2","5,896","5,896","289","308","798","983","765","949","843","585","322","51","3"
"서울특별시 용산구 한강로동(1117062500)","20,901","20,901","1,187","944","3,020","4,894","2,836","3,175","2,740","1,307","674","121","3","9,903","9,903","592","478","1,298","2,280","1,395","1,499","1,374","664","288","35","0","10,998","10,998","595","466","1,722","2,614","1,441","1,676","1,366","643","386","86","3"
"서울특별시 용산구 이촌제1동(1117063000)","24,955","24,955","2,082","2,595","2,518","2,988","4,089","4,407","3,163","1,660","1,189","256","8","11,680","11,680","1,079","1,307","1,240","1,320","1,878","2,054","1,541","724","445","90","2","13,275","13,275","1,003","1,288","1,278","1,668","2,211","2,353","1,622","936","744","166","6"
"서울특별시 용산구 이촌제2동(1117064000)","7,711","7,711","386","431","758","1,326","1,098","1,224","1,280","738","398","70","2","3,598","3,598","183","225","374","669","536","576","559","311","142","23","0","4,113","4,113","203","206","384","657","562","648","721","427","256","47","2"
"서울특별시 용산구 이태원제1동(1117065000)","6,030","6,030","199","236","784","1,175","789","890","998","567","318","72","2","3,005","3,005","99","110","428","661","415","423","491","230","119","29","0","3,025","3,025","100","126","356","514","374","467","507","337","199","43","2"
"서울특별시 용산구 이태원제2동(1117066000)","8,507","8,507","317","402","1,171","1,701","1,269","1,228","1,155","713","476","73","2","4,060","4,060","176","198","586","893","624","566","519","295","174","27","2","4,447","4,447","141","204","585","808","645","662","636","418","302","46","0"
"서울특별시 용산구 한남동(1117068500)","14,073","14,073","876","887","1,516","2,511","2,392","2,254","1,891","1,102","545","98","1","6,637","6,637","450","465","749","1,144","1,156","1,037","889","486","233","28","0","7,436","7,436","426","422","767","1,367","1,236","1,217","1,002","616","312","70","1"
"서울특별시 용산구 서빙고동(1117069000)","12,467","12,467","630","1,364","1,528","1,476","2,107","2,120","1,698","834","584","119","7","6,002","6,002","326","672","782","728","1,010","999","862","375","196","47","5","6,465","6,465","304","692","746","748","1,097","1,121","836","459","388","72","2"
"서울특별시 용산구 보광동(1117070000)","7,187","7,187","148","348","863","1,108","961","1,294","1,329","714","361","60","1","3,602","3,602","84","213","484","632","503","649","590","292","138","17","0","3,585","3,585","64","135","379","476","458","645","739","422","223","43","1"
"서울특별시 성동구 (1120000000)","273,669","273,669","15,974","17,331","38,953","46,424","39,754","43,452","38,618","21,093","10,635","1,401","34","132,409","132,409","8,252","8,608","18,742","22,734","19,898","21,294","18,907","9,470","4,116","376","12","141,260","141,260","7,722","8,723","20,211","23,690","19,856","22,158","19,711","11,623","6,519","1,025","22"
"서울특별시 성동구 왕십리제2동(1120052000)","15,950","15,950","985","1,003","2,092","2,916","2,269","2,575","2,250","1,201","572","84","3","7,628","7,628","495","506","950","1,426","1,128","1,251","1,092","527","230","22","1","8,322","8,322","490","497","1,142","1,490","1,141","1,324","1,158","674","342","62","2"
"서울특별시 성동구 왕십리도선동(1120053500)","26,071","26,071","1,916","1,644","3,771","4,477","3,868","4,220","3,372","1,739","943","120","1","12,239","12,239","1,023","827","1,597","2,053","1,923","1,987","1,662","765","378","24","0","13,832","13,832","893","817","2,174","2,424","1,945","2,233","1,710","974","565","96","1"
"서울특별시 성동구 마장동(1120054000)","21,344","21,344","923","1,372","3,973","3,187","2,526","3,358","3,157","1,817","912","118","1","10,487","10,487","469","680","1,982","1,661","1,289","1,632","1,553","846","335","40","0","10,857","10,857","454","692","1,991","1,526","1,237","1,726","1,604","971","577","78","1"
"서울특별시 성동구 사근동(1120055000)","11,927","11,927","291","694","4,836","1,662","1,025","1,301","996","665","422","35","0","6,227","6,227","158","300","2,658","976","549","628","493","277","175","13","0","5,700","5,700","133","394","2,178","686","476","673","503","388","247","22","0"
"서울특별시 성동구 행당제1동(1120056000)","13,736","13,736","797","987","2,116","2,353","2,006","2,155","1,767","965","518","65","7","6,543","6,543","413","475","972","1,138","991","1,019","869","436","212","15","3","7,193","7,193","384","512","1,144","1,215","1,015","1,136","898","529","306","50","4"
"서울특별시 성동구 행당제2동(1120057000)","22,620","22,620","1,498","1,841","2,460","3,469","3,480","3,929","3,067","1,845","901","124","6","10,554","10,554","761","834","1,115","1,663","1,665","1,899","1,454","799","326","37","1","12,066","12,066","737","1,007","1,345","1,806","1,815","2,030","1,613","1,046","575","87","5"
"서울특별시 성동구 응봉동(1120058000)","14,723","14,723","901","1,437","1,600","2,038","2,501","2,562","1,845","1,120","636","83","0","6,978","6,978","475","739","737","987","1,164","1,245","876","481","247","27","0","7,745","7,745","426","698","863","1,051","1,337","1,317","969","639","389","56","0"
"서울특별시 성동구 금호1가동(1120059000)","14,580","14,580","1,031","1,011","1,443","2,282","2,473","2,279","2,151","1,240","578","91","1","6,909","6,909","537","502","700","1,061","1,258","1,095","978","549","206","23","0","7,671","7,671","494","509","743","1,221","1,215","1,184","1,173","691","372","68","1"
"서울특별시 성동구 금호2.3가동(1120061500)","21,148","21,148","1,468","1,170","2,270","3,743","3,384","3,367","3,002","1,733","886","120","5","10,052","10,052","750","592","1,124","1,795","1,688","1,609","1,396","743","323","30","2","11,096","11,096","718","578","1,146","1,948","1,696","1,758","1,606","990","563","90","3"
"서울특별시 성동구 금호4가동(1120062000)","14,074","14,074","1,137","900","1,241","2,403","2,500","2,120","1,952","1,161","572","86","2","6,635","6,635","597","455","614","1,114","1,231","1,031","863","503","209","17","1","7,439","7,439","540","445","627","1,289","1,269","1,089","1,089","658","363","69","1"
"서울특별시 성동구 옥수동(1120064500)","25,289","25,289","2,232","1,590","2,268","4,611","4,435","3,746","3,439","1,862","956","148","2","11,693","11,693","1,102","795","1,042","2,086","2,166","1,746","1,535","839","347","33","2","13,596","13,596","1,130","795","1,226","2,525","2,269","2,000","1,904","1,023","609","115","0"
"서울특별시 성동구 성수1가제1동(1120065000)","15,202","15,202","757","856","2,080","2,914","1,950","2,682","2,442","1,013","446","60","2","7,532","7,532","383","449","1,042","1,453","976","1,291","1,268","485","170","15","0","7,670","7,670","374","407","1,038","1,461","974","1,391","1,174","528","276","45","2"
"서울특별시 성동구 성수1가제2동(1120066000)","11,696","11,696","561","690","1,656","2,306","1,660","1,800","1,668","884","423","48","0","5,674","5,674","285","355","811","1,118","811","889","809","408","179","9","0","6,022","6,022","276","335","845","1,188","849","911","859","476","244","39","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,158","14,158","508","708","1,689","2,361","1,793","2,421","2,790","1,258","558","72","0","7,324","7,324","264","354","862","1,276","939","1,269","1,515","588","236","21","0","6,834","6,834","244","354","827","1,085","854","1,152","1,275","670","322","51","0"
"서울특별시 성동구 성수2가제3동(1120069000)","9,643","9,643","395","494","1,464","1,837","1,291","1,476","1,413","805","422","44","2","4,779","4,779","218","265","687","883","667","740","734","393","176","15","1","4,864","4,864","177","229","777","954","624","736","679","412","246","29","1"
"서울특별시 성동구 송정동(1120072000)","9,453","9,453","320","456","1,364","1,570","1,257","1,624","1,666","819","336","41","0","4,949","4,949","186","235","681","859","699","869","885","390","130","15","0","4,504","4,504","134","221","683","711","558","755","781","429","206","26","0"
"서울특별시 성동구 용답동(1120079000)","12,055","12,055","254","478","2,630","2,295","1,336","1,837","1,641","966","554","62","2","6,206","6,206","136","245","1,168","1,185","754","1,094","925","441","237","20","1","5,849","5,849","118","233","1,462","1,110","582","743","716","525","317","42","1"
"서울특별시 광진구 (1121500000)","331,963","331,963","14,098","22,986","56,887","55,354","46,529","52,263","46,029","24,724","11,469","1,577","47","159,237","159,237","7,203","11,611","26,265","27,586","22,777","25,336","22,007","11,269","4,717","453","13","172,726","172,726","6,895","11,375","30,622","27,768","23,752","26,927","24,022","13,455","6,752","1,124","34"
"서울특별시 광진구 화양동(1121571000)","22,880","22,880","278","601","10,004","4,855","1,961","1,913","1,591","1,095","525","55","2","10,797","10,797","145","269","4,225","2,523","1,040","1,061","792","490","233","19","0","12,083","12,083","133","332","5,779","2,332","921","852","799","605","292","36","2"
"서울특별시 광진구 군자동(1121573000)","18,729","18,729","576","911","4,099","3,431","2,371","2,550","2,559","1,427","721","79","5","9,206","9,206","296","494","1,946","1,772","1,210","1,275","1,237","662","297","17","0","9,523","9,523","280","417","2,153","1,659","1,161","1,275","1,322","765","424","62","5"
"서울특별시 광진구 중곡제1동(1121574000)","15,111","15,111","501","637","2,674","3,100","1,935","2,275","2,173","1,190","553","72","1","7,174","7,174","263","348","1,077","1,520","1,030","1,104","1,028","562","228","14","0","7,937","7,937","238","289","1,597","1,580","905","1,171","1,145","628","325","58","1"
"서울특별시 광진구 중곡제2동(1121575000)","20,172","20,172","761","1,196","3,169","3,628","2,687","3,229","3,077","1,674","675","76","0","9,495","9,495","388","619","1,415","1,775","1,335","1,472","1,446","732","295","18","0","10,677","10,677","373","577","1,754","1,853","1,352","1,757","1,631","942","380","58","0"
"서울특별시 광진구 중곡제3동(1121576000)","15,379","15,379","524","744","2,209","2,740","1,949","2,577","2,565","1,374","641","56","0","7,591","7,591","276","381","1,047","1,458","1,042","1,257","1,262","593","255","20","0","7,788","7,788","248","363","1,162","1,282","907","1,320","1,303","781","386","36","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,284","27,284","927","1,601","3,666","4,116","3,407","4,952","4,815","2,580","1,086","128","6","13,288","13,288","492","824","1,849","2,148","1,720","2,303","2,278","1,189","455","27","3","13,996","13,996","435","777","1,817","1,968","1,687","2,649","2,537","1,391","631","101","3"
"서울특별시 광진구 능동(1121578000)","10,903","10,903","398","472","2,153","2,430","1,589","1,431","1,269","751","376","34","0","5,002","5,002","205","234","930","1,101","750","691","581","331","168","11","0","5,901","5,901","193","238","1,223","1,329","839","740","688","420","208","23","0"
"서울특별시 광진구 광장동(1121581000)","33,788","33,788","2,375","5,232","3,745","3,386","6,613","6,051","3,619","1,669","912","182","4","16,287","16,287","1,220","2,673","1,863","1,518","2,965","3,023","1,790","822","350","61","2","17,501","17,501","1,155","2,559","1,882","1,868","3,648","3,028","1,829","847","562","121","2"
"서울특별시 광진구 자양제1동(1121582000)","21,762","21,762","649","1,317","3,900","3,886","3,019","3,364","3,067","1,643","817","99","1","10,557","10,557","330","693","1,899","2,021","1,480","1,640","1,458","688","327","21","0","11,205","11,205","319","624","2,001","1,865","1,539","1,724","1,609","955","490","78","1"
"서울특별시 광진구 자양제2동(1121583000)","23,381","23,381","1,121","1,614","3,069","3,827","3,378","3,821","3,686","1,937","813","112","3","11,311","11,311","553","817","1,521","1,942","1,634","1,818","1,731","918","342","33","2","12,070","12,070","568","797","1,548","1,885","1,744","2,003","1,955","1,019","471","79","1"
"서울특별시 광진구 자양제3동(1121584000)","27,010","27,010","1,795","2,349","3,405","3,822","4,127","4,495","3,922","1,929","946","211","9","12,924","12,924","939","1,141","1,682","1,819","1,940","2,152","1,862","918","393","74","4","14,086","14,086","856","1,208","1,723","2,003","2,187","2,343","2,060","1,011","553","137","5"
"서울특별시 광진구 자양제4동(1121584700)","19,651","19,651","706","826","3,095","3,485","2,450","3,105","3,197","1,858","809","117","3","9,664","9,664","348","406","1,432","1,839","1,248","1,605","1,590","842","320","33","1","9,987","9,987","358","420","1,663","1,646","1,202","1,500","1,607","1,016","489","84","2"
"서울특별시 광진구 구의제1동(1121585000)","22,961","22,961","776","1,162","4,694","4,547","3,150","3,443","2,860","1,501","732","92","4","10,900","10,900","392","558","2,090","2,265","1,598","1,669","1,340","660","300","28","0","12,061","12,061","384","604","2,604","2,282","1,552","1,774","1,520","841","432","64","4"
"서울특별시 광진구 구의제2동(1121586000)","25,295","25,295","1,210","2,044","3,151","3,610","3,818","4,430","3,848","2,114","949","113","8","12,014","12,014","604","1,033","1,540","1,732","1,851","2,092","1,811","949","368","34","0","13,281","13,281","606","1,011","1,611","1,878","1,967","2,338","2,037","1,165","581","79","8"
"서울특별시 광진구 구의제3동(1121587000)","27,657","27,657","1,501","2,280","3,854","4,491","4,075","4,627","3,781","1,982","914","151","1","13,027","13,027","752","1,121","1,749","2,153","1,934","2,174","1,801","913","386","43","1","14,630","14,630","749","1,159","2,105","2,338","2,141","2,453","1,980","1,069","528","108","0"
"서울특별시 동대문구 (1123000000)","338,735","338,735","17,174","22,270","55,543","50,145","47,253","51,914","48,622","29,361","14,531","1,872","50","165,620","165,620","8,707","11,313","26,082","25,665","24,286","26,182","23,758","13,273","5,806","536","12","173,115","173,115","8,467","10,957","29,461","24,480","22,967","25,732","24,864","16,088","8,725","1,336","38"
"서울특별시 동대문구 용신동(1123053600)","38,619","38,619","1,834","1,879","6,905","7,202","5,441","5,723","5,110","2,845","1,490","186","4","19,051","19,051","922","971","3,106","3,587","2,852","2,980","2,665","1,299","605","63","1","19,568","19,568","912","908","3,799","3,615","2,589","2,743","2,445","1,546","885","123","3"
"서울특별시 동대문구 제기동(1123054500)","22,895","22,895","712","1,146","4,350","3,079","2,496","3,425","3,710","2,465","1,344","164","4","11,737","11,737","356","605","2,266","1,746","1,379","1,812","1,844","1,119","566","44","0","11,158","11,158","356","541","2,084","1,333","1,117","1,613","1,866","1,346","778","120","4"
"서울특별시 동대문구 전농제1동(1123056000)","32,864","32,864","1,906","2,116","4,960","4,746","4,763","5,406","4,786","2,659","1,325","191","6","16,332","16,332","948","1,085","2,399","2,444","2,452","2,789","2,432","1,212","523","48","0","16,532","16,532","958","1,031","2,561","2,302","2,311","2,617","2,354","1,447","802","143","6"
"서울특별시 동대문구 전농제2동(1123057000)","17,664","17,664","914","1,477","1,912","2,118","2,554","3,085","2,867","1,723","906","105","3","8,360","8,360","447","737","911","1,077","1,264","1,486","1,287","758","354","38","1","9,304","9,304","467","740","1,001","1,041","1,290","1,599","1,580","965","552","67","2"
"서울특별시 동대문구 답십리제1동(1123060000)","27,835","27,835","2,158","1,921","3,741","4,937","4,632","3,961","3,536","1,905","924","116","4","13,309","13,309","1,112","960","1,592","2,308","2,389","1,967","1,737","858","359","26","1","14,526","14,526","1,046","961","2,149","2,629","2,243","1,994","1,799","1,047","565","90","3"
"서울특별시 동대문구 답십리제2동(1123061000)","27,059","27,059","1,479","1,665","2,978","4,269","3,652","4,447","4,438","2,641","1,325","164","1","12,946","12,946","717","803","1,439","2,164","1,864","2,154","2,063","1,173","521","48","0","14,113","14,113","762","862","1,539","2,105","1,788","2,293","2,375","1,468","804","116","1"
"서울특별시 동대문구 장안제1동(1123065000)","37,110","37,110","1,928","2,481","4,639","5,964","5,888","5,766","5,691","3,298","1,293","155","7","18,245","18,245","1,037","1,239","2,079","3,034","3,046","2,927","2,730","1,555","560","37","1","18,865","18,865","891","1,242","2,560","2,930","2,842","2,839","2,961","1,743","733","118","6"
